date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jun 04 2017 11:35:15 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Compliance Associate,I have been working at Susquehanna International Group (SIG) full-time,2,"Free Lunch, gym onsite, relaxed atmosphere","Pay is not the greatest, career path is not always clear",,4.0,5.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jun 08 2017 19:31:05 GMT-0400 (Eastern Daylight Time),,"Bala Cynwyd, PA","Tax Specialist in Bala Cynwyd, PA",No work life balance,I have been working at Susquehanna International Group (SIG),8,In the tax department you will get exposure to all kinds of tax returns. The free breakfast and lunch are a plus as well as the free onsite gym.,"The normal work week is 50 hours, plus overtime around tax deadlines. There is little room for career advancement as the organization is ""flat"" and everyone in the department is considered a Tax Specialist.",,2.0,1.0,4.0,1.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Sun Apr 30 2017 13:03:12 GMT-0400 (Eastern Daylight Time),,,Former Employee ,support,I worked at Susquehanna International Group (SIG) full-time,6,"amazing work life balance, supportive mangement, catered food,","steep learning curve, away from ny/nj",,4.0,5.0,3.0,2.0,3.0,4.0,,,
Mon Apr 17 2017 11:59:20 GMT-0400 (Eastern Daylight Time), Tech Lead,"Bala Cynwyd, PA",Current Employee ,Work Hard and you will be rewarded,I have been working at Susquehanna International Group (SIG) full-time for more than 3 years,8,Flat corporate culture. Freedom to build and change what you want. Little red tape. Free food,Long hours and high expectations.,,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Apr 17 2017 17:00:57 GMT-0400 (Eastern Daylight Time), Engineer,"Philadelphia, PA",Former Employee ,It's definitely not a bad place to work,I worked at Susquehanna International Group (SIG) full-time for more than a year,6,"There are managers that are passionate about the work and is open to suggestions. Hands down the BEST training program in the securities industry. For tech and business. Very well thought out courses. Fresh grads should definitely come here to work for a few years, even if taking a pay cut. Especially if the securities industry is your focus. Overall very well structured compare to other hedge funds or prop shops. Lot's of documentations for everything. Everything is very well planned out for new comers to pick things up quickly. Decent compensation for the Philly area. Tons of talented people and hard workers. I think almost everyone SIG is giving all they got but some are just more talented than others. Free food and snacks. Some cool outside activities during the year. Management tries not to point fingers when human error occurs but actually tries to come up with solutions on how to fix them. This is really a rare trait and is highly undervalued. Everyone is really trying, some just tries harder.","Compensation not really competitive on national market. Growth and mobility is hard because how well defined the company structure is. This is really a double edged sword. Everything is very well defined and breaking barriers is hard. I'd say it's good for the company over all but it kinda screws people over that's been doing the same job for many years without an option for growth. Yearly raises are terrible. You really need to hammer down you initial offer because expecting decent growth isn't going to happen. Yes some managers are just clocking it in and out, but that's not the majority. If you get one of those then I feel sorry for you. Some old tech still in play but a lot of people are working on phasing it out. Too many production freezes and sign offs for changes. They are there for good reasons but some are just offensive. It's like they think we graduated yesterday. I'd say half of all the freezes are completely worthless. Some luck does come into play for progression within the company. Depending on what work your manager assigns you, you might be an all star. Seen some people write some pretty impressive and important things, and some people just got lucky to write the important things. And those are usually turds. Documentation is everywhere and is core to the culture. Switch is also a double edged sword because it makes everyone replaceable. Good luck using what you built as leverage for raises and such.",,3.0,3.0,4.0,2.0,2.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Mar 27 2017 13:01:29 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Equity Research Associate,I have been working at Susquehanna International Group (SIG) full-time for less than a year,4,"Great place, great culture, great people!","None really, just that they should give the interns/co-ops more responsibility, or allow them to rotate within different sectors.",,4.0,2.0,5.0,3.0,3.0,5.0,Recommends,Positive Outlook,
Wed Feb 22 2017 19:30:40 GMT-0500 (Eastern Standard Time),,"Bala Cynwyd, PA",Current Employee ,Best company I have worked for so far.,I have been working at Susquehanna International Group (SIG) full-time for less than a year,12,"-Great positive team, -Good compensation -Free breakfast and lunch which changes daily -Good work life balance as long as you work hard and efficiently while at work -Great gym and gym classes (paid but subsidized) -Modest but very smart people -Poker tournaments and company events -The best school neighborhoods in Lower Merion, Radnor, Tredyffrin.",-Health benefits are not that competitive -Traffic in Philly -Lack of other opportunities in Philadelphia for spouse (depending on discipline) if you move from out of state.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Apr 06 2017 14:14:24 GMT-0400 (Eastern Daylight Time), Proprietary Trade Support,"Bala Cynwyd, PA",Former Employee ,"Work Had, Play hard.",I worked at Susquehanna International Group (SIG) full-time for more than 3 years,5,Fun work environment Awesome exposure to cutting edge technology Cool Projects Constant food and free lunch are a nice touch. Gym and showers on site.,"Flat Management Structure, no real room to grow tantly doing internal reorganization of teams and leadership Long hours expected. Your pay is for 50 hours a week. Pay is low when comparing to other trading firms They push a lot of the nice to have things as huge benefits to make up for low compensation.",,3.0,1.0,3.0,4.0,2.0,2.0,Positive Outlook,,Approves of CEO
Mon Mar 06 2017 10:53:59 GMT-0500 (Eastern Standard Time), Travel Agent,"Bala Cynwyd, PA",Current Employee ,Great company!,I have been working at Susquehanna International Group (SIG) full-time for less than a year,6,"-People are friendly and knowledgeable. -Breakfast, lunch and snacks are offered daily. -The gym is great! -On site nurse -Pay and benefits are competitive including time off. -Most respectful workplace I have experienced. -Vacation time offered in standard -great maternity leave - Compassionate upper management -Very beneficial to see how these great entrepreneurs live day to day lives.",-Offices need some update (which they are working). They should hire a designer that has studied what colors lead to the best productivity. - Not a pet friendly workplace... yet,,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Mar 13 2017 23:05:13 GMT-0400 (Eastern Daylight Time),,, ,Senior Equity Research Associate,I worked at Susquehanna International Group (SIG),3,Worked in the NY office. Great culture. Get to learn from accomplished finance professionals in a tech environment feel. The combination facilitates a fun culture with alot of learning and an enjoyable atmosphere.,"Feel like the Equities business get slightly underappreciated versus other business, but not detrimental enough to the experience. More clear cut career path would be good; apparently they are making changes to make it clearer.",,4.0,5.0,5.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
